,country,year,coal_consumption,coal_cons_per_capita,fossil_fuel_consumption,fossil_cons_per_capita,gas_consumption,gas_energy_per_capita,hydro_consumption,hydro_energy_per_capita,nuclear_consumption,nuclear_energy_per_capita,oil_consumption,oil_energy_per_capita,primary_energy_consumption,electricity_generation,per_capita_electricity,renewables_consumption,renewables_energy_per_capita,primary_energy_consumption,energy_per_capita
3425,China,1980,3539.022,3538.707,4694.567,0.0,143.823,143.81,161.726,161.711,0.0,0.0,1011.722,1011.632,4856.292,0.0,0.0,161.726,161.711,4856.292,4855.86
3426,China,1981,3520.198,3471.52,4609.007,0.0,128.402,126.627,181.981,179.465,0.0,0.0,960.407,947.127,4790.988,0.0,0.0,181.981,179.465,4790.988,4724.738
3427,China,1982,3724.841,3623.566,4795.999,0.0,120.239,116.969,206.705,201.085,0.0,0.0,950.92,925.065,5002.704,0.0,0.0,206.705,201.085,5002.704,4866.685
3428,China,1983,3989.008,3826.64,5083.98,0.0,123.061,118.052,240.047,230.276,0.0,0.0,971.912,932.351,5324.027,0.0,0.0,240.047,230.276,5324.027,5107.319
3429,China,1984,4338.27,4099.778,5471.345,0.0,125.278,118.391,241.152,227.895,0.0,0.0,1007.797,952.394,5712.497,0.0,0.0,241.152,227.895,5712.497,5398.458
3430,China,1985,4736.268,4403.418,5921.846,295.933,130.317,121.159,256.632,238.597,0.0,0.0,1055.26,981.1,6178.478,410.69,381.828,256.632,238.597,6178.478,5744.274
3431,China,1986,4951.428,4521.794,6212.685,324.18,138.683,126.649,262.635,239.847,0.0,0.0,1122.575,1025.169,6475.321,449.53,410.524,262.635,239.847,6475.321,5913.459
3432,China,1987,5372.246,4813.431,6705.295,355.922,139.993,125.431,277.845,248.944,0.0,0.0,1193.057,1068.956,6983.141,497.267,445.542,277.845,248.944,6983.141,6256.762
3433,China,1988,5771.228,5072.608,7197.554,383.258,143.722,126.324,303.245,266.536,0.0,0.0,1282.604,1127.342,7500.799,545.21,479.211,303.245,266.536,7500.799,6592.81
3434,China,1989,6046.907,5220.244,7541.752,402.64,151.674,130.939,328.914,283.949,0.0,0.0,1343.172,1159.549,7870.667,584.81,504.862,328.914,283.949,7870.667,6794.681
3435,China,1990,6134.522,5212.512,7620.275,420.082,154.184,131.01,352.067,299.152,0.0,0.0,1331.569,1131.436,7972.531,621.2,527.835,352.256,299.312,7972.531,6774.271
3436,China,1991,6433.433,5393.117,8029.22,463.398,156.119,130.874,346.358,290.351,0.0,0.0,1439.669,1206.868,8375.788,677.55,567.987,346.567,290.526,8375.788,7021.384
3437,China,1992,6731.502,5578.388,8456.527,516.285,159.142,131.881,363.017,300.832,0.0,0.0,1565.883,1297.645,8820.231,753.94,624.789,363.704,301.401,8820.231,7309.315
3438,China,1993,7170.362,5883.051,9070.002,539.709,168.969,138.634,421.795,346.069,4.456,3.656,1730.671,1419.96,9497.178,811.59,665.883,422.721,346.829,9497.178,7792.128
3439,China,1994,7641.673,6212.642,9572.766,605.487,176.971,143.877,465.081,378.108,40.989,33.324,1754.121,1426.092,10081.194,927.8,754.297,467.439,380.025,10081.194,8195.959
3440,China,1995,7736.857,6234.77,9815.824,644.665,178.796,144.083,529.389,426.61,35.647,28.726,1900.171,1531.259,10390.963,1007.03,811.518,539.493,434.752,10390.963,8373.59
3441,China,1996,8095.396,6467.852,10365.629,700.973,187.362,149.694,522.139,417.165,39.828,31.821,2082.871,1664.119,10932.141,1081.31,863.917,526.684,420.796,10932.141,8734.282
3442,China,1997,7931.919,6285.217,10403.181,730.762,197.985,156.883,544.389,431.372,40.05,31.735,2273.277,1801.334,10995.762,1135.55,899.805,552.531,437.823,10995.762,8712.993
3443,China,1998,7871.723,6188.549,10411.263,747.776,204.164,160.508,552.473,434.34,39.167,30.792,2335.376,1836.014,11010.818,1167.0,917.466,560.388,440.563,11010.818,8656.426
3444,China,1999,8099.039,6319.894,10800.842,799.646,216.631,169.043,546.056,426.102,41.525,32.403,2485.171,1939.245,11396.786,1239.3,967.059,554.419,432.628,11396.786,8893.213
3445,China,2000,8211.413,6362.718,11119.51,836.815,246.958,191.358,617.806,478.715,46.492,36.025,2661.139,2062.018,11792.554,1319.101,1022.123,626.553,485.493,11792.554,9137.612
3446,China,2001,8635.762,6647.342,11633.089,900.191,276.458,212.802,765.635,589.345,48.218,37.116,2720.87,2094.378,12456.115,1463.931,1126.855,774.807,596.405,12456.115,9588.043
3447,China,2002,9467.465,7241.71,12699.612,1010.083,294.136,224.986,789.596,603.966,68.897,52.699,2938.011,2247.299,13567.957,1634.137,1249.959,799.449,611.502,13567.957,10378.197
3448,China,2003,11283.068,8578.297,14896.342,1165.193,341.748,259.824,772.847,587.58,118.079,89.773,3271.527,2487.278,15798.685,1858.612,1413.066,784.264,596.261,15798.685,12011.433
3449,China,2004,13155.29,9942.891,17375.205,1329.628,399.84,302.203,957.047,723.345,136.62,103.259,3820.075,2887.248,18484.936,2160.98,1633.289,973.111,735.486,18484.936,13971.087
3450,China,2005,15405.118,11576.041,19761.647,1482.914,469.751,352.991,1067.926,802.484,142.8,107.306,3886.778,2920.685,21000.495,2421.429,1819.561,1096.047,823.615,21000.495,15780.637
3451,China,2006,16918.395,12640.677,21671.211,1721.839,577.838,431.735,1164.838,870.315,146.593,109.528,4174.978,3119.359,23022.389,2780.611,2077.55,1204.585,900.013,23022.389,17201.311
3452,China,2007,18423.928,13687.972,23515.753,1994.464,710.78,528.07,1288.984,957.644,165.033,122.61,4381.046,3254.878,25024.414,3227.072,2397.538,1343.628,998.242,25024.414,18591.773
3453,China,2008,18715.936,13827.101,24004.399,2045.329,819.33,605.311,1681.417,1242.21,180.543,133.383,4469.134,3301.741,25956.957,3431.351,2535.039,1772.014,1309.142,25956.957,19176.678
3454,China,2009,19605.617,14403.514,25145.182,2198.876,902.241,662.843,1615.117,1186.566,183.774,135.012,4637.324,3406.868,27089.785,3674.899,2699.811,1760.829,1293.615,27089.785,19901.852
3455,China,2010,20340.292,14859.825,26704.582,2482.652,1088.741,795.392,1854.835,1355.07,194.88,142.372,5275.549,3854.11,28967.802,4225.469,3086.963,2068.34,1511.048,28967.802,21162.747
3456,China,2011,22141.823,16085.619,28960.784,2808.576,1351.63,981.934,1783.045,1295.349,225.976,164.167,5467.332,3971.914,31261.361,4719.4,3428.556,2074.6,1507.158,31261.361,22710.792
