,iso_code,country,year,biofuel_consumption,biofuel_cons_per_capita,coal_consumption,coal_cons_per_capita,coal_production,fossil_fuel_consumption,fossil_cons_per_capita,gas_consumption,hydro_consumption,nuclear_consumption,oil_consumption,other_renewable_consumption,population,primary_energy_consumption,renewables_consumption,solar_consumption
3425,CHN,China,1980,0.0,0.0,3539.022,3538.707,,4694.567,,143.823,161.726,0.0,1011.722,0.0,1000089024.0,4856.292,161.726,0.0
3426,CHN,China,1981,0.0,0.0,3520.198,3471.52,3614.607,4609.007,,128.402,181.981,0.0,960.407,0.0,1014022016.0,4790.988,181.981,0.0
3427,CHN,China,1982,0.0,0.0,3724.841,3623.566,3874.538,4795.999,,120.239,206.705,0.0,950.92,0.0,1027948992.0,5002.704,206.705,0.0
3428,CHN,China,1983,0.0,0.0,3989.008,3826.64,4154.821,5083.98,,123.061,240.047,0.0,971.912,0.0,1042430976.0,5324.027,240.047,0.0
3429,CHN,China,1984,0.0,0.0,4338.27,4099.778,4589.202,5471.345,,125.278,241.152,0.0,1007.797,0.0,1058172032.0,5712.497,241.152,0.0
3430,CHN,China,1985,0.0,0.0,4736.268,4403.418,5072.429,5921.846,295.933,130.317,256.632,0.0,1055.26,0.0,1075588992.0,6178.478,256.632,0.0
3431,CHN,China,1986,0.0,0.0,4951.428,4521.794,5198.614,6212.685,324.18,138.683,262.635,0.0,1122.575,0.0,1095014016.0,6475.321,262.635,0.0
3432,CHN,China,1987,0.0,0.0,5372.246,4813.431,5396.906,6705.295,355.922,139.993,277.845,0.0,1193.057,0.0,1116094976.0,6983.141,277.845,0.0
3433,CHN,China,1988,0.0,0.0,5771.228,5072.608,5698.123,7197.554,383.258,143.722,303.245,0.0,1282.604,0.0,1137724032.0,7500.799,303.245,0.0
3434,CHN,China,1989,0.0,0.0,6046.907,5220.244,6130.178,7541.752,402.64,151.674,328.914,0.0,1343.172,0.0,1158356992.0,7870.667,328.914,0.0
3435,CHN,China,1990,0.0,0.0,6134.522,5212.512,6279.525,7620.275,420.082,154.184,352.067,0.0,1331.569,0.178,1176883968.0,7972.531,352.256,0.006
3436,CHN,China,1991,0.0,0.0,6433.433,5393.117,6323.271,8029.22,463.398,156.119,346.358,0.0,1439.669,0.178,1192897024.0,8375.788,346.567,0.006
3437,CHN,China,1992,0.0,0.0,6731.502,5578.388,6491.755,8456.527,516.285,159.142,363.017,0.0,1565.883,0.314,1206711040.0,8820.231,363.704,0.008
